task_index,DIM,PRM,TRAIM,TOCA,PC-SPE
1,1088.4999761050585,429.2367275102806,,,0.27333580433803034
2,517.120136522228,183.60840153191634,,1606.471330126487,0.25931512046145666
3,0.0,0.0,,225.89604605300357,0.013132430356984692
4,,,,,0.00569923689166425
5,144.32282676875457,0.0,168.88196335463817,753.872210974481,0.08510677876071689
6,0.0,0.0,142.90012283854,232.44859971929588,0.014657923640635883
7,757.9142286850097,141.59963951605687,,1209.5281414511323,0.18789028762752225
8,244.2780672996305,0.0,,1345.2595532057746,0.18555223288971284
9,1031.7166806720627,379.8305390326218,539.3833057980024,1626.3543708270947,0.27136870016953424
10,561.0695241698722,0.0,,778.5123847609183,0.11446819012465682
