preference_mean,node_count,participants
0.0,10,9.65
0.0,20,19.45
0.0,30,29.0
0.0,40,38.7
0.0,50,48.4
0.0,60,58.25
0.1,10,9.35
0.1,20,18.1
0.1,30,27.0
0.1,40,35.95
0.1,50,44.85
0.1,60,53.85
0.2,10,9.25
0.2,20,18.9
0.2,30,28.1
0.2,40,37.45
0.2,50,46.85
0.2,60,56.05
0.3,10,9.95
0.3,20,19.75
0.3,30,29.65
0.3,40,39.45
0.3,50,49.25
0.3,60,59.15
0.4,10,10.0
0.4,20,20.0
0.4,30,30.0
0.4,40,40.0
0.4,50,50.0
0.4,60,60.0
0.5,10,10.0
0.5,20,20.0
0.5,30,30.0
0.5,40,39.95
0.5,50,49.9
0.5,60,59.9
0.6,10,10.0
0.6,20,20.0
0.6,30,30.0
0.6,40,40.0
0.6,50,50.0
0.6,60,60.0
0.7,10,10.0
0.7,20,20.0
0.7,30,30.0
0.7,40,40.0
0.7,50,50.0
0.7,60,60.0
0.8,10,10.0
0.8,20,20.0
0.8,30,30.0
0.8,40,40.0
0.8,50,50.0
0.8,60,60.0
0.9,10,10.0
0.9,20,20.0
0.9,30,30.0
0.9,40,40.0
0.9,50,50.0
0.9,60,60.0
1.0,10,10.0
1.0,20,20.0
1.0,30,30.0
1.0,40,40.0
1.0,50,50.0
1.0,60,60.0
