round_index,task_id,arrival_time,deadline,candidate_count,decision,selected_bs,selected_time_slots,net_utility,rejection_reason
0,task_1,0,5,1,ACCEPTED,bs_20,0,207.258692,
1,task_2,0,5,5,ACCEPTED,bs_3,0;1,861.02849,
2,task_3,1,6,5,ACCEPTED,bs_9,1;2;3,1597.938561,
3,task_4,1,6,4,ACCEPTED,bs_9,4,391.668492,
4,task_5,1,6,4,ACCEPTED,bs_9,5;6,720.913481,
5,task_6,1,6,2,ACCEPTED,bs_18,1,598.590879,
6,task_7,2,7,3,ACCEPTED,bs_5,2;3,1370.05021,
7,task_8,2,7,9,ACCEPTED,bs_8,2,703.112008,
8,task_9,2,7,7,ACCEPTED,bs_3,2;3,843.522948,
9,task_10,3,8,3,ACCEPTED,bs_3,4;5,1063.528267,
10,task_11,3,8,0,REJECTED,,,0.0,no_feasible_scheme
11,task_12,3,8,5,ACCEPTED,bs_30,3,229.739356,
12,task_13,3,8,4,ACCEPTED,bs_3,6;7;8,1229.948795,
13,task_14,4,9,1,ACCEPTED,bs_20,4;5,627.212561,
14,task_15,4,9,4,ACCEPTED,bs_6,4;5,1202.373638,
15,task_16,4,9,1,ACCEPTED,bs_19,4;5,1039.217651,
16,task_17,5,10,3,ACCEPTED,bs_18,5;6,897.10835,
17,task_18,5,10,1,ACCEPTED,bs_19,6;7,903.942757,
18,task_19,5,10,3,ACCEPTED,bs_23,5;6,796.732546,
19,task_20,5,10,2,ACCEPTED,bs_29,5,488.674504,
20,task_21,6,11,3,ACCEPTED,bs_3,9;10,1107.951928,
21,task_22,6,11,6,ACCEPTED,bs_29,6;7,677.041604,
22,task_23,6,11,5,ACCEPTED,bs_9,7;8;9,1264.524806,
23,task_24,7,12,5,ACCEPTED,bs_29,8;9,1083.176725,
24,task_25,7,12,6,ACCEPTED,bs_9,10;11,787.022871,
25,task_26,7,12,4,ACCEPTED,bs_4,7;8;9,1586.53702,
26,task_27,7,12,5,ACCEPTED,bs_9,12,590.291261,
27,task_28,8,13,8,ACCEPTED,bs_6,8,278.097366,
28,task_29,8,13,6,ACCEPTED,bs_8,8,520.292603,
29,task_30,8,13,7,ACCEPTED,bs_8,9,304.407754,
30,task_31,9,14,6,ACCEPTED,bs_8,10,322.067952,
31,task_32,9,14,3,ACCEPTED,bs_4,10;11,1161.543867,
32,task_33,9,14,2,ACCEPTED,bs_23,9,587.013041,
33,task_34,9,14,4,ACCEPTED,bs_5,9;10;11,1297.079151,
34,task_35,10,15,3,ACCEPTED,bs_3,11;12,946.760344,
35,task_36,10,15,8,ACCEPTED,bs_8,11,210.861348,
36,task_37,10,15,4,ACCEPTED,bs_6,10;11;12,1576.391167,
37,task_38,11,16,3,ACCEPTED,bs_3,13;14,966.247145,
38,task_39,11,16,4,ACCEPTED,bs_4,12;13;14,1410.001653,
39,task_40,11,16,7,ACCEPTED,bs_8,12;13;14,1311.768161,
40,task_41,11,16,6,ACCEPTED,bs_29,11;12,1275.583741,
41,task_42,12,17,3,ACCEPTED,bs_30,12;13,1049.22381,
42,task_43,12,17,5,ACCEPTED,bs_3,15;16,1314.475637,
43,task_44,12,17,4,ACCEPTED,bs_3,17,413.779822,
44,task_45,13,18,1,ACCEPTED,bs_19,13;14,1030.925073,
45,task_46,13,18,5,ACCEPTED,bs_9,13;14,718.774782,
46,task_47,13,18,4,ACCEPTED,bs_22,13,320.177179,
47,task_48,13,18,5,ACCEPTED,bs_3,18,615.801921,
48,task_49,14,19,4,ACCEPTED,bs_3,19,146.735045,
49,task_50,14,19,10,ACCEPTED,bs_8,15;16,1117.607963,
