mechanism,target_id,bid_multiplier,won,won_task_count,payment,utility,truthful_bid_reference,task_id,true_bid,reported_bid,accepted,truthfulness_status
DIM,node_1,0.5,False,0,,0.0,1.0c,node_1,,,False,passed
DIM,node_1,0.7,False,0,,0.0,1.0c,node_1,,,False,passed
DIM,node_1,0.9,False,0,,0.0,1.0c,node_1,,,False,passed
DIM,node_1,1.0,False,0,,0.0,1.0c,node_1,,,False,passed
DIM,node_1,1.1,False,0,,0.0,1.0c,node_1,,,False,passed
DIM,node_1,1.3,False,0,,0.0,1.0c,node_1,,,False,passed
DIM,node_1,1.5,False,0,,0.0,1.0c,node_1,,,False,passed
PRM,node_1,0.5,True,4,1923.2220574577086,-1723.902959876699,1.0c,node_1,,,True,passed
PRM,node_1,0.7,False,0,,0.0,1.0c,node_1,,,False,passed
PRM,node_1,0.9,False,0,,0.0,1.0c,node_1,,,False,passed
PRM,node_1,1.0,False,0,,0.0,1.0c,node_1,,,False,passed
PRM,node_1,1.1,False,0,,0.0,1.0c,node_1,,,False,passed
PRM,node_1,1.3,False,0,,0.0,1.0c,node_1,,,False,passed
PRM,node_1,1.5,False,0,,0.0,1.0c,node_1,,,False,passed
TRAIM,bs_2,0.5,True,1,126.54090184168106,-54.32818188935414,1.0c,bs_2,,,True,passed
TRAIM,bs_2,0.7,False,0,,0.0,1.0c,bs_2,,,False,passed
TRAIM,bs_2,0.9,False,0,,0.0,1.0c,bs_2,,,False,passed
TRAIM,bs_2,1.0,False,0,,0.0,1.0c,bs_2,,,False,passed
TRAIM,bs_2,1.1,False,0,,0.0,1.0c,bs_2,,,False,passed
TRAIM,bs_2,1.3,False,0,,0.0,1.0c,bs_2,,,False,passed
TRAIM,bs_2,1.5,False,0,,0.0,1.0c,bs_2,,,False,passed
TOCA,task_1,0.5,True,1,5.0,487.61241882828773,1.0v,task_1,492.61241882828773,246.30620941414386,True,passed
TOCA,task_1,0.7,True,1,5.0,487.61241882828773,1.0v,task_1,492.61241882828773,344.8286931798014,True,passed
TOCA,task_1,0.9,True,1,5.0,487.61241882828773,1.0v,task_1,492.61241882828773,443.351176945459,True,passed
TOCA,task_1,1.0,True,1,5.0,487.61241882828773,1.0v,task_1,492.61241882828773,492.61241882828773,True,passed
TOCA,task_1,1.1,True,1,5.0,487.61241882828773,1.0v,task_1,492.61241882828773,541.8736607111166,True,passed
TOCA,task_1,1.3,True,1,5.0,487.61241882828773,1.0v,task_1,492.61241882828773,640.3961444767741,True,passed
TOCA,task_1,1.5,True,1,5.0,487.61241882828773,1.0v,task_1,492.61241882828773,738.9186282424316,True,passed
