mechanism,target_id,bid_multiplier,won,won_task_count,payment,utility,truthful_bid_reference
DIM,node_1,0.5,False,0,,0.0,1.0c
DIM,node_1,0.8,False,0,,0.0,1.0c
DIM,node_1,1.0,False,0,,0.0,1.0c
DIM,node_1,1.2,False,0,,0.0,1.0c
DIM,node_1,1.5,False,0,,0.0,1.0c
DIM,node_1,2.0,False,0,,0.0,1.0c
PRM,node_1,0.5,True,4,1923.2220574577086,-1723.902959876699,1.0c
PRM,node_1,0.8,False,0,,0.0,1.0c
PRM,node_1,1.0,False,0,,0.0,1.0c
PRM,node_1,1.2,False,0,,0.0,1.0c
PRM,node_1,1.5,False,0,,0.0,1.0c
PRM,node_1,2.0,False,0,,0.0,1.0c
TRAIM,bs_2,0.5,True,1,126.54090184168106,-54.32818188935414,1.0c
TRAIM,bs_2,0.8,False,0,,0.0,1.0c
TRAIM,bs_2,1.0,False,0,,0.0,1.0c
TRAIM,bs_2,1.2,False,0,,0.0,1.0c
TRAIM,bs_2,1.5,False,0,,0.0,1.0c
TRAIM,bs_2,2.0,False,0,,0.0,1.0c
