bs_id,node_id,time_slot,used_cpu,cpu_capacity,cpu_utilization,used_subchannels,subchannel_capacity,subchannel_utilization
bs_1,node_1,0,0,9,0.0,0,6,0.0
bs_1,node_1,1,0,9,0.0,0,6,0.0
bs_1,node_1,2,0,9,0.0,0,6,0.0
bs_1,node_1,3,0,9,0.0,0,6,0.0
bs_1,node_1,4,0,9,0.0,0,6,0.0
bs_1,node_1,5,0,9,0.0,0,6,0.0
bs_1,node_1,6,0,9,0.0,0,6,0.0
bs_1,node_1,7,0,9,0.0,0,6,0.0
bs_1,node_1,8,0,9,0.0,0,6,0.0
bs_1,node_1,9,0,9,0.0,0,6,0.0
bs_1,node_1,10,0,9,0.0,0,6,0.0
bs_1,node_1,11,0,9,0.0,0,6,0.0
bs_1,node_1,12,0,9,0.0,0,6,0.0
bs_1,node_1,13,0,9,0.0,0,6,0.0
bs_1,node_1,14,0,9,0.0,0,6,0.0
bs_1,node_1,15,0,9,0.0,0,6,0.0
bs_1,node_1,16,0,9,0.0,0,6,0.0
bs_1,node_1,17,0,9,0.0,0,6,0.0
bs_1,node_1,18,0,9,0.0,0,6,0.0
bs_1,node_1,19,0,9,0.0,0,6,0.0
bs_2,node_2,0,0,9,0.0,0,8,0.0
bs_2,node_2,1,0,9,0.0,0,8,0.0
bs_2,node_2,2,4,9,0.444444,2,8,0.25
bs_2,node_2,3,4,9,0.444444,2,8,0.25
bs_2,node_2,4,0,9,0.0,0,8,0.0
bs_2,node_2,5,0,9,0.0,0,8,0.0
bs_2,node_2,6,0,9,0.0,0,8,0.0
bs_2,node_2,7,0,9,0.0,0,8,0.0
bs_2,node_2,8,0,9,0.0,0,8,0.0
bs_2,node_2,9,0,9,0.0,0,8,0.0
bs_2,node_2,10,0,9,0.0,0,8,0.0
bs_2,node_2,11,0,9,0.0,0,8,0.0
bs_2,node_2,12,0,9,0.0,0,8,0.0
bs_2,node_2,13,0,9,0.0,0,8,0.0
bs_2,node_2,14,0,9,0.0,0,8,0.0
bs_2,node_2,15,0,9,0.0,0,8,0.0
bs_2,node_2,16,0,9,0.0,0,8,0.0
bs_2,node_2,17,0,9,0.0,0,8,0.0
bs_2,node_2,18,0,9,0.0,0,8,0.0
bs_2,node_2,19,0,9,0.0,0,8,0.0
bs_3,node_3,0,0,8,0.0,0,4,0.0
bs_3,node_3,1,0,8,0.0,0,4,0.0
bs_3,node_3,2,0,8,0.0,0,4,0.0
bs_3,node_3,3,0,8,0.0,0,4,0.0
bs_3,node_3,4,0,8,0.0,0,4,0.0
bs_3,node_3,5,0,8,0.0,0,4,0.0
bs_3,node_3,6,0,8,0.0,0,4,0.0
bs_3,node_3,7,0,8,0.0,0,4,0.0
bs_3,node_3,8,0,8,0.0,0,4,0.0
bs_3,node_3,9,0,8,0.0,0,4,0.0
bs_3,node_3,10,0,8,0.0,0,4,0.0
bs_3,node_3,11,0,8,0.0,0,4,0.0
bs_3,node_3,12,0,8,0.0,0,4,0.0
bs_3,node_3,13,0,8,0.0,0,4,0.0
bs_3,node_3,14,0,8,0.0,0,4,0.0
bs_3,node_3,15,0,8,0.0,0,4,0.0
bs_3,node_3,16,0,8,0.0,0,4,0.0
bs_3,node_3,17,0,8,0.0,0,4,0.0
bs_3,node_3,18,0,8,0.0,0,4,0.0
bs_3,node_3,19,0,8,0.0,0,4,0.0
bs_4,node_4,0,0,9,0.0,0,7,0.0
bs_4,node_4,1,0,9,0.0,0,7,0.0
bs_4,node_4,2,0,9,0.0,0,7,0.0
bs_4,node_4,3,0,9,0.0,0,7,0.0
bs_4,node_4,4,0,9,0.0,0,7,0.0
bs_4,node_4,5,0,9,0.0,0,7,0.0
bs_4,node_4,6,0,9,0.0,0,7,0.0
bs_4,node_4,7,0,9,0.0,0,7,0.0
bs_4,node_4,8,0,9,0.0,0,7,0.0
bs_4,node_4,9,0,9,0.0,0,7,0.0
bs_4,node_4,10,0,9,0.0,0,7,0.0
bs_4,node_4,11,0,9,0.0,0,7,0.0
bs_4,node_4,12,0,9,0.0,0,7,0.0
bs_4,node_4,13,0,9,0.0,0,7,0.0
bs_4,node_4,14,1,9,0.111111,3,7,0.428571
bs_4,node_4,15,0,9,0.0,0,7,0.0
bs_4,node_4,16,0,9,0.0,0,7,0.0
bs_4,node_4,17,0,9,0.0,0,7,0.0
bs_4,node_4,18,0,9,0.0,0,7,0.0
bs_4,node_4,19,0,9,0.0,0,7,0.0
bs_5,node_5,0,0,6,0.0,0,7,0.0
bs_5,node_5,1,0,6,0.0,0,7,0.0
bs_5,node_5,2,0,6,0.0,0,7,0.0
bs_5,node_5,3,0,6,0.0,0,7,0.0
bs_5,node_5,4,3,6,0.5,1,7,0.142857
bs_5,node_5,5,3,6,0.5,1,7,0.142857
bs_5,node_5,6,4,6,0.666667,2,7,0.285714
bs_5,node_5,7,4,6,0.666667,2,7,0.285714
bs_5,node_5,8,0,6,0.0,0,7,0.0
bs_5,node_5,9,0,6,0.0,0,7,0.0
bs_5,node_5,10,0,6,0.0,0,7,0.0
bs_5,node_5,11,0,6,0.0,0,7,0.0
bs_5,node_5,12,0,6,0.0,0,7,0.0
bs_5,node_5,13,0,6,0.0,0,7,0.0
bs_5,node_5,14,0,6,0.0,0,7,0.0
bs_5,node_5,15,0,6,0.0,0,7,0.0
bs_5,node_5,16,0,6,0.0,0,7,0.0
bs_5,node_5,17,0,6,0.0,0,7,0.0
bs_5,node_5,18,0,6,0.0,0,7,0.0
bs_5,node_5,19,0,6,0.0,0,7,0.0
